,day,is_member,start_station_code,index,Code,name,latitude_x,longitude_x,year_x,trip_c,emplacement_pk_start,pk,FID,latitude_y,longitude_y,year_y,X_x,Y_x,cluster,X_y,Y_y,X_mean,Y_mean
826,199,4347.0,4837.0,6720,6720.0,Ontario / Viau,45.5594818,-73.535496,2019,4837,,,407,45.5594818,-73.535496,2019,302029,5046620,104,302029.0,5046620.0,302029.0,5046620.0
827,202,,,144,,Ontario / Viau,45.559482,-73.535496,2022,7786,7786.0,144.0,647,45.559482,-73.535496,2022,302029,5046620,104,302029.0,5046620.0,302029.0,5046620.0
828,190,2417.0,2958.0,6721,6721.0,Métro Cadillac (de Cadillac / Sherbrooke),45.5769632283486,-73.54683637619019,2019,2958,,,408,45.57696323,-73.54683638,2019,301145,5048560,112,301149.6666666667,5048558.333333333,301149.6666666667,5048558.333333333
829,89,,,164,,Métro Cadillac (de Cadillac / Sherbrooke),45.576963,-73.546836,2022,2651,2651.0,164.0,663,45.576963,-73.546836,2022,301145,5048560,112,301149.6666666667,5048558.333333333,301149.6666666667,5048558.333333333
830,89,,,164,,Métro Cadillac (de Cadillac / Sherbrooke),45.576963,-73.546836,2022,2651,2651.0,164.0,664,45.576963,-73.546836,2022,301145,5048560,112,301149.6666666667,5048558.333333333,301149.6666666667,5048558.333333333
831,89,,,164,,Cadillac / Sherbrooke,45.576963,-73.546836,2022,2651,2651.0,164.0,663,45.576963,-73.546836,2022,301145,5048560,112,301149.6666666667,5048558.333333333,301149.6666666667,5048558.333333333
832,89,,,164,,Cadillac / Sherbrooke,45.576963,-73.546836,2022,2651,2651.0,164.0,664,45.576963,-73.546836,2022,301145,5048560,112,301149.6666666667,5048558.333333333,301149.6666666667,5048558.333333333
833,71,,,1256,,Métro Cadillac (Cadillac / Sherbrooke),45.5768333,-73.5464742,2022,1543,1543.0,1256.0,1430,45.5768333,-73.5464742,2022,301173,5048550,112,301149.6666666667,5048558.333333333,301149.6666666667,5048558.333333333
834,199,1804.0,2195.0,6722,6722.0,du Quesne / Pierre-de-Coubertin,45.57498439946887,-73.53884875774384,2019,2195,,,409,45.5749844,-73.53884876,2019,301768,5048340,146,301764.5,5048345.0,301764.5,5048345.0
835,202,,,936,,Du Quesne / Pierre-de-Coubertin,45.5750536,-73.5389322,2022,4578,4578.0,936.0,1198,45.5750536,-73.5389322,2022,301761,5048350,146,301764.5,5048345.0,301764.5,5048345.0
836,199,2884.0,3407.0,6723,6723.0,26e avenue / Beaubien,45.564944,-73.577639,2019,3407,,,410,45.564944,-73.577639,2019,298739,5047230,207,298739.0,5047230.0,298739.0,5047230.0
837,202,,,631,,26e avenue / Beaubien,45.564944,-73.577639,2022,5903,5903.0,631.0,1055,45.564944,-73.577639,2022,298739,5047230,207,298739.0,5047230.0,298739.0,5047230.0
838,198,6684.0,10544.0,6724,6724.0,Léa-Roback / Sir-Georges-Etienne-Cartier,45.47166862589184,-73.582643866539,2019,10544,,,411,45.47166863,-73.58264387,2019,298338,5036860,280,298338.0,5036860.0,298338.0,5036860.0
839,202,,,447,,Léa-Roback / Sir-Georges-Etienne-Cartier,45.471669,-73.582644,2022,21752,21752.0,447.0,906,45.471669,-73.582644,2022,298338,5036860,280,298338.0,5036860.0,298338.0,5036860.0
840,199,4636.0,5424.0,6725,6725.0,Métro Monk (Allard / Beaulieu),45.45085122,-73.5940272,2019,5424,,,412,45.45085122,-73.5940272,2019,297445,5034550,284,297445.0,5034550.0,297445.0,5034550.0
841,202,,,190,,Métro Monk (Allard / Beaulieu),45.450851,-73.594027,2022,7924,7924.0,190.0,687,45.450851,-73.594027,2022,297445,5034550,284,297445.0,5034550.0,297445.0,5034550.0
842,194,1488.0,1817.0,6726,6726.0,Hamel / Sauvé,45.56076192837154,-73.6505614221096,2019,1817,,,413,45.56076193,-73.65056142,2019,293046,5046770,287,293046.0,5046770.0,293046.0,5046770.0
843,202,,,231,,Hamel / Sauvé,45.560762,-73.650561,2022,2471,2471.0,231.0,721,45.560762,-73.650561,2022,293046,5046770,287,293046.0,5046770.0,293046.0,5046770.0
844,199,11153.0,12952.0,6727,6727.0,de la Sucrerie / Centre,45.48408128505464,-73.56091797351837,2019,12952,,,414,45.48408129,-73.56091797,2019,300038,5038240,789,300038.0,5038240.0,300038.0,5038240.0
845,198,2332.0,2762.0,6728,6728.0,d'Outremont / Ogilvy,45.52687028194893,-73.62672328948975,2019,2762,,,415,45.52687028,-73.62672329,2019,294901,5043000,613,294901.0,5043000.0,294901.0,5043000.0
846,200,,,663,,d'Outremont / Ogilvy,45.52687,-73.626723,2022,6156,6156.0,663.0,1080,45.52687,-73.626723,2022,294901,5043000,613,294901.0,5043000.0,294901.0,5043000.0
847,199,18121.0,22029.0,6729,6729.0,St-André / Ste-Catherine,45.516426545782224,-73.5581123828888,2019,22029,,,416,45.51642655,-73.55811238,2019,300260,5041840,599,300260.0,5041840.0,300260.0,5041840.0
848,202,,,273,,St-André / Ste-Catherine,45.516427,-73.558112,2022,31131,31131.0,273.0,759,45.516427,-73.558112,2022,300260,5041840,599,300260.0,5041840.0,300260.0,5041840.0
849,195,1952.0,2447.0,6730,6730.0,35e avenue / Beaubien,45.570081,-73.573047,2019,2447,,,417,45.570081,-73.573047,2019,299098,5047800,387,299098.0,5047800.0,299098.0,5047800.0
850,201,,,604,,35e avenue / Beaubien,45.570081,-73.573047,2022,5146,5146.0,604.0,1034,45.570081,-73.573047,2022,299098,5047800,387,299098.0,5047800.0,299098.0,5047800.0
851,196,2323.0,3006.0,6731,6731.0,28e avenue / Rosemont,45.564353,-73.571244,2019,3006,,,418,45.564353,-73.571244,2019,299239,5047160,67,299224.5,5047125.0,299224.5,5047125.0
