index,latitude,longitude,year
6131,45.533924,-73.562425,2019
6132,45.5291345371163,-73.55923354625702,2019
6133,45.53673838509649,-73.56516659259796,2019
6134,45.53840340979245,-73.56196403503418,2019
6136,45.52761627,-73.5891147,2019
6137,45.53034708827074,-73.56698781251907,2019
6138,45.53167355364312,-73.56541335582732,2019
6139,45.53292625574653,-73.56377989053726,2019
6140,45.5298015824607,-73.5702896118164,2019
6141,45.53354753725336,-73.5668671131134,2019
6142,45.527794785525096,-73.57193917036057,2019
6143,45.52689,-73.57264,2019
6145,45.52451761488783,-73.57197672128677,2019
6146,45.52317047138824,-73.56901288032532,2019
6147,45.52479,-73.56545,2019
6148,45.52720058937288,-73.56472939252852,2019
6149,45.53867,-73.56936,2019
6150,45.53711414,-73.5710031,2019
6151,45.53646917409483,-73.57146307826042,2019
