Field1,day,emplacemen,index,pk,name,latitude,longitude,trip_per_d,cluster,FID1,FID_1,Field1_1,day_1,is_member,start_stat,index_1,Code,name_1,latitude_x,longitude_,year_x,trip_c,emplacem_1,pk_1,FID_,latitude_y,longitude1,year_y,X_x,Y_x,cluster_1,X_y,Y_y,X_mean,Y_mean,FID_2,DAUID,CDNAME,DAU,OID_,DAU_1,pop_2016,popden,age_0_14,age_15_30,age_30_45,age_p_45,lang_e,lang_f,lang_ef,inc_em,inc_aft,inc_low_,edu_unideg,to_work_ca,to_work_pt,to_work_wa,to_work_bi
23,202,17176,137,137,Jeanne-d'Arc / Ontario,45.54959800000,-73.54187400000,85.02970297000,467,0,0,1,202,0.00000000000,0.00000000000,137,0.00000000000,Jeanne-d'Arc / Ontario,45.54959800000,-73.54187400000,2022,17176,17176.00000000000,137.00000000000,642,45.54959800000,-73.54187400000,2022,301530,5045520,467,301530.00000000000,5045520.00000000000,301530.00000000000,5045520.00000000000,2061,24661765,Montr?—al,24661765,1621,24661765,906,12851.10000000000,0.10485651200,0.22075055200,0.38631346600,0.28807947000,0.01666666700,0.35555555600,0.61666666700,48000,40960,0.27200000000,0.29357798200,0.31958762900,0.52577319600,0.08247422700,0.06185567000
24,202,6888,139,139,d'Orl?—ans / Hochelaga,45.55076800000,-73.54942700000,34.09900990000,401,0,346,693,202,0.00000000000,0.00000000000,139,0.00000000000,d'Orl?—ans / Hochelaga,45.55076800000,-73.54942700000,2022,6888,6888.00000000000,139.00000000000,643,45.55076800000,-73.54942700000,2022,300941,5045650,401,300941.00000000000,5045650.00000000000,300941.00000000000,5045650.00000000000,2806,24662046,Montr?—al,24662046,1883,24662046,763,17621.20000000000,0.10484927900,0.27522935800,0.35386631700,0.26605504600,0.02702702700,0.35135135100,0.61486486500,50304,43296,0.20300000000,0.23295454500,0.42553191500,0.47872340400,0.06382978700,0.00000000000
25,202,11628,141,141,March?— Maisonneuve,45.55321900000,-73.53978200000,57.56435644000,621,0,351,705,202,0.00000000000,0.00000000000,141,0.00000000000,March?— Maisonneuve,45.55321900000,-73.53978200000,2022,11628,11628.00000000000,141.00000000000,644,45.55321900000,-73.53978200000,2022,301694,5045920,621,301694.00000000000,5045920.00000000000,301694.00000000000,5045920.00000000000,2860,24662065,Montr?—al,24662065,1897,24662065,568,5720.00000000000,0.12323943700,0.19366197200,0.37852112700,0.30457746500,0.01769911500,0.38938053100,0.60176991200,37248,33216,0.28900000000,0.26896551700,0.32835820900,0.56716417900,0.02985074600,0.07462686600
26,202,7540,142,142,Ontario / Sicard,45.55626200000,-73.53744100000,37.32673267000,221,0,317,634,202,0.00000000000,0.00000000000,142,0.00000000000,Ontario / Sicard,45.55626200000,-73.53744100000,2022,7540,7540.00000000000,142.00000000000,645,45.55626200000,-73.53744100000,2022,301877,5046260,221,301877.00000000000,5046260.00000000000,301877.00000000000,5046260.00000000000,2859,24662064,Montr?—al,24662064,1896,24662064,674,14071.00000000000,0.10385756700,0.13353115700,0.45252225500,0.31008902100,0.00746268700,0.34328358200,0.65671641800,56320,47019,0.14100000000,0.28235294100,0.47500000000,0.33750000000,0.11250000000,0.07500000000
27,202,6319,143,143,de Ville-Marie / Ste-Catherine,45.55792100000,-73.52914700000,31.28217822000,586,0,80,158,202,0.00000000000,0.00000000000,143,0.00000000000,de Ville-Marie / Ste-Catherine,45.55792100000,-73.52914700000,2022,6319,6319.00000000000,143.00000000000,646,45.55792100000,-73.52914700000,2022,302524,5046450,586,302524.00000000000,5046450.00000000000,302524.00000000000,5046450.00000000000,1736,24661728,Montr?—al,24661728,1584,24661728,863,2231.70000000000,0.16801854000,0.24333719600,0.35341830800,0.23522595600,0.01197604800,0.44311377200,0.53892215600,42112,38016,0.32900000000,0.21910112400,0.46511627900,0.34883720900,0.06976744200,0.09302325600
28,202,7786,144,144,Ontario / Viau,45.55948200000,-73.53549600000,38.54455446000,104,0,414,827,202,0.00000000000,0.00000000000,144,0.00000000000,Ontario / Viau,45.55948200000,-73.53549600000,2022,7786,7786.00000000000,144.00000000000,647,45.55948200000,-73.53549600000,2022,302029,5046620,104,302029.00000000000,5046620.00000000000,302029.00000000000,5046620.00000000000,95,24663322,Montr?—al,24663322,3081,24663322,926,5794.70000000000,0.14038876900,0.18358531300,0.43736501100,0.23866090700,0.02162162200,0.38378378400,0.60000000000,60160,49664,0.21200000000,0.31877729300,0.55769230800,0.35576923100,0.04807692300,0.04807692300
29,202,24314,145,145,Gauthier / Papineau,45.52966600000,-73.56733600000,120.36633660000,93,0,142,279,202,0.00000000000,0.00000000000,145,0.00000000000,Gauthier / Papineau,45.52966600000,-73.56733600000,2022,24314,24314.00000000000,145.00000000000,648,45.52966600000,-73.56733600000,2022,299540,5043310,93,299554.00000000000,5043345.00000000000,299554.00000000000,5043345.00000000000,1646,24661893,Montr?—al,24661893,1745,24661893,305,17329.50000000000,0.11475409800,0.36065573800,0.36065573800,0.16393442600,0.03278688500,0.24590163900,0.70491803300,55680,48704,0.21700000000,0.37209302300,0.29411764700,0.29411764700,0.23529411800,0.14705882400
30,198,14018,146,146,Gauthier / de Lorimier,45.53167400000,-73.56541300000,70.79797980000,625,0,143,281,198,0.00000000000,0.00000000000,146,0.00000000000,Gauthier / de Lorimier,45.53167400000,-73.56541300000,2022,14018,14018.00000000000,146.00000000000,649,45.53167400000,-73.56541300000,2022,299691,5043530,625,299691.00000000000,5043530.00000000000,299691.00000000000,5043530.00000000000,1859,24661797,Montr?—al,24661797,1653,24661797,385,11063.20000000000,0.10389610400,0.31168831200,0.24675324700,0.33766233800,0.01298701300,0.28571428600,0.70129870100,52864,48000,0.20000000000,0.32584269700,0.15789473700,0.34210526300,0.21052631600,0.23684210500
31,202,10168,147,147,Gauthier / Parthenais,45.53292600000,-73.56378000000,50.33663366000,358,0,144,283,202,0.00000000000,0.00000000000,147,0.00000000000,Gauthier / Parthenais,45.53292600000,-73.56378000000,2022,10168,10168.00000000000,147.00000000000,650,45.53292600000,-73.56378000000,2022,299818,5043670,358,299818.00000000000,5043670.00000000000,299818.00000000000,5043670.00000000000,2538,24661798,Montr?—al,24661798,1654,24661798,592,15497.40000000000,0.11824324300,0.27027027000,0.42229729700,0.18918918900,0.02542372900,0.23728813600,0.72881355900,61056,51520,0.18500000000,0.39361702100,0.34285714300,0.41428571400,0.12857142900,0.11428571400
32,202,12775,148,148,de Bordeaux / Marie-Anne,45.53340900000,-73.57065700000,63.24257426000,342,0,499,998,202,0.00000000000,0.00000000000,148,0.00000000000,de Bordeaux / Marie-Anne,45.53340900000,-73.57065700000,2022,12775,12775.00000000000,148.00000000000,651,45.53340900000,-73.57065700000,2022,299281,5043720,342,299281.00000000000,5043720.00000000000,299281.00000000000,5043720.00000000000,1647,24661894,Montr?—al,24661894,1746,24661894,586,5661.80000000000,0.06825938600,0.12798634800,0.21331058000,0.59044368600,0.00000000000,0.33333333300,0.65079365100,61824,52608,0.17500000000,0.39175257700,0.34146341500,0.39024390200,0.14634146300,0.14634146300
