,day,emplacement_pk_start,index,pk,name,latitude,longitude,trip_per_day_2022
142,202,20097,274,274.0,Gare d'autocars de Montréal (Berri / Ontario),45.516897,-73.563949,99.49009900990099
143,202,6622,277,277.0,St-André / Robin,45.518128,-73.561851,32.78217821782178
144,202,11906,278,278.0,St-André / Ontario,45.51889,-73.56353,58.94059405940594
145,50,4387,279,279.0,Montcalm / de Maisonneuve,45.519139,-73.557866,87.74
146,189,6903,280,280.0,Plessis / René-Lévesque,45.519373,-73.551958,36.523809523809526
147,202,10049,281,281.0,Wolfe / Robin,45.519581,-73.560116,49.74752475247525
148,106,4228,284,284.0,Papineau / René-Lévesque,45.52114,-73.54926,39.886792452830186
149,202,12283,285,285.0,Alexandre-DeSève / Ste-Catherine,45.52123,-73.553861,60.806930693069305
150,202,9593,286,286.0,Logan / de Champlain,45.523194,-73.555843,47.49009900990099
151,202,13510,288,288.0,Plessis / Ontario,45.523492,-73.56073,66.88118811881188
152,202,36172,289,289.0,Métro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199,179.06930693069307
153,42,1412,291,291.0,Parthenais / Ste-Catherine,45.526006,-73.548864,33.61904761904762
154,202,8818,292,292.0,Jean Langlois / Fullum,45.5265,-73.545753,43.65346534653465
155,202,23948,293,293.0,Dorion / Ontario,45.526991,-73.558212,118.55445544554455
156,202,9567,294,294.0,Logan / Fullum,45.528366,-73.551171,47.36138613861386
157,202,9260,295,295.0,Poupart / Ste-Catherine,45.529002,-73.546199,45.84158415841584
158,202,13669,296,296.0,Larivière / de Lorimier,45.529134,-73.559234,67.66831683168317
159,115,9321,297,297.0,de Bordeaux / Sherbrooke,45.529971,-73.563053,81.05217391304348
160,202,7263,298,298.0,Logan / d'Iberville,45.53057,-73.54913,35.95544554455446
161,202,7865,299,299.0,Poupart / Ontario,45.531939,-73.553439,38.93564356435643
162,202,15322,302,302.0,Métro Frontenac (Ontario / du Havre),45.533706,-73.552179,75.85148514851485
163,202,7607,303,303.0,Hochelaga / Chapleau,45.534453,-73.559652,37.65841584158416
164,202,9500,304,304.0,du Havre / de Rouen,45.534563,-73.554787,47.02970297029703
165,200,5315,305,305.0,Hogan / Ontario,45.535295,-73.55116,26.575
166,202,7271,306,306.0,Sherbrooke / Frontenac,45.5367,-73.56081,35.995049504950494
167,201,8129,307,307.0,Wurtele / de Rouen,45.537628,-73.553394,40.44278606965174
168,202,36755,309,309.0,University / Milton,45.506511,-73.576669,181.95544554455446
169,202,21592,310,310.0,University / Prince-Arthur,45.507402,-73.578444,106.89108910891089
170,202,28261,311,311.0,Milton / Durocher,45.508141,-73.57493,139.90594059405942
171,202,24041,312,312.0,Aylmer / Prince-Arthur,45.508567,-73.577698,119.01485148514851
